Finding,Present-prompt score
Pleural effusion,0.36338740587234497
Atelectasis,0.3499920666217804
Peribronchial thickening,0.31785956025123596
Lung opacity,0.315029114484787
Lung nodule,0.311018705368042
Consolidation,0.30012908577919006
Emphysema,0.27669087052345276
Medical material,0.26282086968421936
Mosaic attenuation pattern,0.2490631490945816
Coronary artery wall calcification,0.22173485159873962
Interlobular septal thickening,0.20465420186519623
Bronchiectasis,0.2015235871076584
Pericardial effusion,0.16161511838436127
Arterial wall calcification,0.16159138083457947
Hiatal hernia,0.16013450920581818
Cardiomegaly,0.14689497649669647
Lymphadenopathy,0.13118897378444672
Pulmonary fibrotic sequela,0.12405958771705627
